"entidad","municipio","clave_1","clave_2","razon_social","ubicacion","colonia","cp","telefono","correo","inicio_operaciones","magna","premium","diesel","latitude","longitude"
"DISTRITO FEDERAL","ALVARO OBREGON","J01025",1400182,"OMNIBUS CUAUHTEMOC, S.A. DE C.V.","CAMINO REAL A TOLUCA NO. 581","Cristo Rey","01150","044-55-40-84-18-37","jrodriguez@gho.mx","7-Feb-96","N","N","S",19.3900245,-99.2038233
"DISTRITO FEDERAL","ALVARO OBREGON","J01075",1400048,"AUTOBUSES MEXICO-TOLUCA-ZINANCATEPEC Y RAMALES , S.A. DE C.V.","Postes No. 52","Molino de Santo Domingo","01130","56-58-11-11","oficina.diesel@amtz.com.mx","30-Mar-99","N","N","S",19.3913986,-99.2055352
"DISTRITO FEDERAL","ALVARO OBREGON","J01103",1400185,"ENLACES TERRESTRES NACIONALES, S.A. DE C.V.","PARALELA NO. 36","JOSE MARIA PINO SUAREZ","01140","50-91-14-35","romer_1mx@yahoo.com.mx","28-Nov-95","N","N","S",19.3916155,-99.20162
"DISTRITO FEDERAL","ALVARO OBREGON","J01215",1400305,"AUTOTRANSPORTES HERRADURA DE PLATA, S.A. DE C.V.","Av. Vasco de Quiroga No. 1225-B","Cuevitas Santa Fe","01220","044 55 40841837","jrodriguez@gho.mx","29-Jun-01","N","N","S",19.3859459,-99.2248173
"DISTRITO FEDERAL","AZCAPOTZALCO","E00019",108170,"SUPERSERVICIO GRANJAS, S.A.","AV. DE LAS GRANJAS NO. 751","AZCAPOTZALCO","02250","53940160","vmsg@prodigy.net.mx","4-Nov-94","S","S","S",19.491279,-99.1731632
"DISTRITO FEDERAL","AZCAPOTZALCO","E00047",108218,"ESTACION DE SERVICIO VALLEJO, S.A. DE C.V.","AV. CEYLAN NO. 613","Industrial Vallejo","02300","55-67-18-46","vallejo@diato.com.mx","20-Mar-95","S","S","S",19.5024953,-99.1735001
"DISTRITO FEDERAL","AZCAPOTZALCO","E00053",108155,"SERVICIO CLAVERIA, S.A. DE C.V.","AV. CLAVERIA NO. 27","Claveria","02080","55275458,52348879","servclaveria@yahoo.com.mx","2-Jul-97","S","S","N",19.4655987,-99.1864617
"DISTRITO FEDERAL","AZCAPOTZALCO","E00071",108235,"SERVICIO BEGONIA, S.A. DE C.V.","Egipto No. 244","Claveria","02080","53-96-70-82","sclaveria@lasuto.com","24-Feb-93","S","S","N",19.4632275,-99.1814735
"DISTRITO FEDERAL","AZCAPOTZALCO","E00072",108186,"SERVICIO ORDAZ Y CARABALLO, S.A.","MUITLE NO. 189 ","VICTORIA DE LAS DEMOCRACIAS","02810","53 55 04 83","fcaraballoc@hotmail.com","24-Apr-01","S","S","N",19.4672753,-99.1639639
"DISTRITO FEDERAL","AZCAPOTZALCO","E00129",108166,"GRAFEL, S.A.","SABINO NO. 494 ","AMPLIACION DEL GAS","02970","53553079","vmsg@prodigy.net.mx","25-Jan-95","S","S","S",19.4658607,-99.1570097
"DISTRITO FEDERAL","AZCAPOTZALCO","E00130",108140,"SERVICIO EL ZACATITO DE AZCAPO, S.A. DE C.V.","ZARAGOZA NO. 8, ESQ. JARDIN JOSE F. GUTIERREZ","Azcapotzalco","02000","53-52-29-14","soco@gilarch.com.mx","22-Apr-97","S","S","N",19.4818376,-99.1881312
"DISTRITO FEDERAL","AZCAPOTZALCO","E00214",108202,"GASOLINERA EL RUEDO, S.A DE C.V.","VALLEJO NO. 510","Prohogar","02600","53562873","sanchez_antonio@hotmail.com","11-Dec-92","S","S","S",20.1669687,-99.3238326
"DISTRITO FEDERAL","AZCAPOTZALCO","E02718",108208,"SERVICIO NORTE 45, S.A. DE C.V.","NORTE 45 NO. 970","Industrial Vallejo","02300","5567-80-61","rodrigo@norte45.com","17-Feb-93","S","S","N",19.4951119,-99.1593825
"DISTRITO FEDERAL","AZCAPOTZALCO","E02904",108211,"SERVICIOS METROPOLIS, S.A. DE C.V.","SANTO TOMAS NO. 11","SNTO TOMAS","02020","55-61-61-57","","22-Sep-98","S","S","S",19.4832061,-99.1798861
"DISTRITO FEDERAL","AZCAPOTZALCO","E03527",108207,"YUMKA, SA DE CV","TEZOZOMOC NO. 51 Y 53","Santa Lucia","02760","53520968-53523011","rogomez@prodigy.net.mx","28-Jan-00","S","S","S",19.473965,-99.201047
"DISTRITO FEDERAL","AZCAPOTZALCO","E03698",108174,"SERVICIO JOPEL, SA DE CV","COACHILCO NO. 61","San Marcos","02020","53-52-29-88","serviciojopel@gmail.com","19-Apr-93","S","S","S",19.4891629,-99.1857208
"DISTRITO FEDERAL","AZCAPOTZALCO","E03813",108209,"ESTACION DE SERVICIOS XOCHINAHUAC, S.A. DE C.V.","EJE 5 NORTE NO.1020","San Martin Xochinahuac","02120","53-19-00-99","esx@prodigy.net.mx","18-Aug-92","S","S","S",19.4946052,-99.1516803
"DISTRITO FEDERAL","AZCAPOTZALCO","E04826",108232,"GRUPO AZCA, S.A. DE C.V.","CUAUHTEMOC NO. 40","Azcapotzalco","02000","5561-2282","grupoazca@prodigy.net.mx","1-Aug-97","S","S","N",19.4693396,-99.146841
"DISTRITO FEDERAL","AZCAPOTZALCO","E05300",108898,"OPERADORA GASOIL, S.A. DE C.V.","AV. TEZOZOMOC NO. 246","SAN PEDRO XALPA","02729","53-52-79-67","israel.contreras@opgasoil.com.mx","27-Feb-09","S","S","N",19.4815576,-99.1981899
"DISTRITO FEDERAL","AZCAPOTZALCO","E09782",113902,"OPERADORA DE GASOLINERIA EL COTERON S.A. DE C.V.","NORTE 79A ESQ. CAMARONES NO. 284","CLAVERIA","02080","53965447","sergiopprieto@hotmail.com","20-Apr-09","S","S","S",19.4648699,-99.1776716
"DISTRITO FEDERAL","AZCAPOTZALCO","E10242",114362,"GASOLINERIA ALTADENA, S.A. DE C.V.","AV. DEPORTIVO REYNOSA, EJE 5 NORTE NO.1010","SANTA BARBARA","02230","55112186","es10242@corpogas.com.mx, gerardo@corpogas.com.mx,","29-Apr-10","S","S","S",19.5026025,-99.1790777
"DISTRITO FEDERAL","AZCAPOTZALCO","E10526",114646,"GAS 122  S.A. DE C.V.","Poniente 122 No. 672","LAS ALINAS","02300","57192643","gas122@prodigy.net.mx","24-Aug-11","S","S","S",19.3722838,-99.1945825
"DISTRITO FEDERAL","AZCAPOTZALCO","J01281",1400397,"RED DE TRANSPORTE DE PASAJEROS DEL DISTRITO FEDERAL","TEPANTONGO NO. 306","Reynosa Tamaulipas","02200","57053616","sserrano@rtp.gob.mx","10-Nov-04","N","N","S",19.4916639,-99.1864779
"DISTRITO FEDERAL","AZCAPOTZALCO","J01375",1400491,"BIMBO, S.A. DE C.V.","SAN PABLO XALPA NO.520","Reynosa Tamaulipas","02200","52686600","jmuricha@grupobimbo.com","9-Oct-08","N","N","S",19.49802,-99.1844521
"DISTRITO FEDERAL","BENITO JUAREZ","E00009",108013,"CONSORCIO GASOLINERO PLUS,S.A. DE C.V.","CALZADA DE TLALPAN NO. 1395 ESQ. AJUSCO","Portales","03300","52623827","controlesvolumetricos@hidrosina.com.mx","13-Mar-98","S","S","N",19.3627898,-99.1478356
"DISTRITO FEDERAL","BENITO JUAREZ","E00011",107920,"CONSORCIO GASOLINERO PLUS,S.A. DE C.V.","ALFONSO XIII ESQ. OBRERO MUNDIAL","Alamos","03400","52623827","controlesvolumetricos@hidrosina.com.mx","5-Sep-97","S","S","N",19.4025485,-99.1411124
"DISTRITO FEDERAL","BENITO JUAREZ","E00012",107921,"CONSORCIO GASOLINERO PLUS,S.A. DE C.V.","AV. XOLA NO. 18","Alamos","03400","52623827","controlesvolumetricos@hidrosina.com.mx","9-Feb-98","S","S","N",19.3977364,-99.1680184
"DISTRITO FEDERAL","BENITO JUAREZ","E00016",108053,"SERVICIOS SIMPA, S.A. DE C.V.","TORRES ADALID NO. 1401","Narvarte Poniente","03020","55795176","","18-Nov-96","S","S","N",19.3904836,-99.1564592
"DISTRITO FEDERAL","BENITO JUAREZ","E00030",107906,"SERVICIO CASCADINA, S.A. DE C.V.","CALETA NO. 28","Narvarte Oriente","03020","55.30.99.26","cascadina@meigascorp.com","26-Sep-94","S","S","N",19.4011905,-99.1460169
"DISTRITO FEDERAL","BENITO JUAREZ","E00036",107991,"SERVICIO REVOLUCION 0036, S.A. DE C.V.","AV. REVOLUCION NO. 420","San Pedro de Los Pinos","03800","55153820/52778013","srevolu0036@prodigy.net.mx","13-Nov-96","S","S","N",19.3933584,-99.1855302
"DISTRITO FEDERAL","BENITO JUAREZ","E00061",108030,"SERVICIO RIVIERA, SA","AV. DIVISION DEL NORTE NO. 1231","VERTIZ NARVARTE","03600","52033666","e0061riviera@saigsa.com.mx","1-Mar-99","S","S","N",19.3573026,-99.1528829
"DISTRITO FEDERAL","BENITO JUAREZ","E00068",108010,"CONSORCIO GASOLINERO PLUS, S.A. DE C.V.","AV. COYOACAN NO. 107 ESQ. AV. PROVIDENCIA","del Valle","03100","52623800","controlesvolumetricos@hidrosina.com.mx","14-Sep-00","S","S","N",20.7011055,-103.3814412
"DISTRITO FEDERAL","BENITO JUAREZ","E00069",108031,"CONSORCIO GASOLINERO PLUS,S.A. DE C.V.","DIVISION DEL NORTE NO. 804 Y LUZ SAVINON","DEL VALLE","03100","52623827","controlesvolumetricos@hidrosina.com.mx","22-Oct-97","S","S","S",19.3925625,-99.1652926
"DISTRITO FEDERAL","BENITO JUAREZ","E00075",108060,"SERVICIO DAKOTA, SA DE CV","AV. DAKOTA NO. 56","Napoles","03810","55234432","dakota@meigascorp.com","5-Jan-93","S","S","N",19.3968451,-99.1735792
"DISTRITO FEDERAL","BENITO JUAREZ","E00085",108033,"CONSORCIO GASOLINERO PLUS, S.A. DE C.V.","INSURGENTES SUR NO. 553 ESQ. DIVISION DEL NORTE","DEL VALLE","03100","52623800","controlesvolumetricos@hidrosina.com.mx","13-Jun-00","S","S","N",19.2442598,-99.1434062
"DISTRITO FEDERAL","BENITO JUAREZ","E00165",108078,"MARIA ARACELI ALEMAN SOLIS","AV. OBRERO MUNDIAL NO. 133","del Valle Norte","03100","","","16-Apr-01","S","S","N",27.4613887,-109.9228666
"DISTRITO FEDERAL","BENITO JUAREZ","E00173",108064,"GASOLINERIA MURCIA, S.A. DE C.V.","AV. REVOLUCION NO. 847","MIXCOAC","03700","55112186","es0173@corpogas.com.mx,gerardo@corpogas.com.mx,fel","5-Dec-94","S","S","S",19.3785261,-99.187385
"DISTRITO FEDERAL","BENITO JUAREZ","E00174",108025,"CONSORCIO GASOLINERO PLUS,S.A. DE C.V.","CALLE MURILLO NO. 21 Y MIGUEL ANGEL","SAN PEDRO DE LOS PINO","03800","52623827","controlesvolumetricos@hidrosina.com.mx","22-Jul-92","S","S","N",19.4095563,-99.0987569
"DISTRITO FEDERAL","BENITO JUAREZ","E00181",107893,"GAS ROAN, SA DE CV","SORIA NO. 6","Alamos","03400","55198590","groan@prodigy.net.mx","25-Nov-96","S","S","N",19.3981464,-99.14521
"DISTRITO FEDERAL","BENITO JUAREZ","E00193",108001,"SERVICIO ERMITA, S.A. DE C.V.","CALZADA DE TLALPAN NO. 1577 Y POPOCATEPETL","PORTALES","03300","56047192","jcolsa@hotmail.com,spetreyo@hotmail.com","13-Nov-96","S","S","S",19.3171377,-99.1528381
"DISTRITO FEDERAL","BENITO JUAREZ","E00206",107915,"CONSORCIO GASOLINERO PLUS, SA DE CV","CALZADA DE TLALPAN NO.  842","Villa de Cortes","03530","25623827","controlesvolumetricos@hidrosina.com.mx","13-Nov-98","S","S","N",19.3672267,-99.1421929
"DISTRITO FEDERAL","BENITO JUAREZ","E00217",107916,"CONSORCIO GASOLINERO PLUS, SA DE CV","DR. VERTIZ NO. 640","VERTIZ NARVARTE","03600","52623827","controlesvolumetricos@hidrosina.com.mx","19-Mar-99","S","S","N",19.3976202,-99.1508134
"DISTRITO FEDERAL","BENITO JUAREZ","E00301",108041,"INN NUEVA YORK, S.A. DE C.V.","CALLE GEORGIA NO. 37","Napoles","03810","5536-4662","innuevay@prodigy.net.mx","23-Mar-98","S","S","N",19.4268945,-99.1600267
"DISTRITO FEDERAL","BENITO JUAREZ","E02769",108055,"CARBE, S.A. DE C.V.","FELIX CUEVAS NO. 435","DEL VALLE","03100","55240110","carbesa@prodigy.net.mx, cperez@carbe.com.mx,cperez","26-Mar-99","S","S","N",19.372277,-99.1731271
"DISTRITO FEDERAL","BENITO JUAREZ","E02825",107888,"SERVICIO MIRAMONTES, S.A.","Plutarco Elias Calles No. 1637","Portales","03300","56720037","serviciomiramontes@yahoo.com.mx","21-Jan-97","S","S","N",19.3927443,-99.1034024
"DISTRITO FEDERAL","BENITO JUAREZ","E05133",108484,"CONSORCIO GASOLINERO PLUS, SA DE CV","AV. UNIVERSIDAD NO. 1291 ESQ. COYOACAN","DEL VALLE","03240","52623827","controlesvolumetricos@hidrosina.com.mx","15-Jul-98","S","S","N",19.4326077,-99.133208
"DISTRITO FEDERAL","BENITO JUAREZ","E05155",108483,"GALA SERVICIO, SA DE CV","AV. POPOCATEPETL NO. 415","Santa Cruz Atoyac","03340","56 04 12 99","aaih27@aol.com","24-Sep-98","S","S","N",19.3648115,-99.1631408
"DISTRITO FEDERAL","BENITO JUAREZ","E05178",108482,"SERVICIO INTEGRAL NACIONAL, SA DE CV","AV. POPOCATEPETL NO. 220","Pedro Maria Anaya","03340","56 88 00 38","sinsa1@prodigy.net.mx","20-Oct-98","S","S","N",19.2929124,-99.0093848
"DISTRITO FEDERAL","BENITO JUAREZ","E05244",108623,"SERVICIO AUTOMOTRIZ INSURGENTES, S.A. DE C.V.","AV. INSURGENTES SUR NO. 1428","del Valle","03100","55248834","maria.ordonez@villacero.com","18-Nov-97","S","S","N",19.3975908,-99.1710144
"DISTRITO FEDERAL","BENITO JUAREZ","E05303",108714,"PETROMAX, S.A. DE C.V.","AV. REVOLUCION NO. 775","Nonoalco Mixcoac","03700","81306856","itza.terrazas@petro.com.mx","7-May-99","S","S","N",19.3799669,-99.1871776
"DISTRITO FEDERAL","BENITO JUAREZ","E05356",108726,"GASOLINERIA DIVISION ZAPATA, SA DE CV","AV. DIVISION DEL NORTE NO. 1917","Emperadores","03320","56059896","polvera@grupoautofin.com","29-Mar-99","S","S","N",19.3668665,-99.155885
"DISTRITO FEDERAL","BENITO JUAREZ","E05518",109004,"FRANCISCO PADILLA ORTIZ","PETEN NO. 228","NARVARTE","03020","","","9-Mar-00","S","S","N",19.3909524,-99.1527781
"DISTRITO FEDERAL","BENITO JUAREZ","E05691",109359,"SERVICIO AUTOMOTRIZ XOLA, S.A. DE C.V.","Xola No. 135","Alamos","03400","55-90-42-04","gas_xola@yahoo.com.mx","30-Aug-00","S","S","N",19.3944084,-99.1401436
"DISTRITO FEDERAL","BENITO JUAREZ","E05745",109456,"SERVICIO VICTOR HUGO, SA DE CV","VICTOR HUGO NO. 152","PORTALES","03300","55-39-67-51","es5745@corpogas.com.mx, gerardo@corpogas.com.mx, f","24-Aug-00","S","S","N",19.3709855,-99.152561
"DISTRITO FEDERAL","BENITO JUAREZ","E05956",109884,"PROMOTORA DE AUTO ESTACIONES, S.A. DE C.V.","AV. XOLA EJE 4 SUR NO. 1403","Narvarte Oriente","03020","443 3155355","alm@gasmaster.com.mx","22-May-01","S","S","N",25.6326723,-100.2915749
"DISTRITO FEDERAL","BENITO JUAREZ","E06131",110219,"PROMO GAS, S.A. DE C.V.","Av. Tintoreto Eje 6 Sur No. 20","Nonoalco","03700","55636292 / 19925516","paco_silva@hotmail.com","11-Jun-02","S","S","S",19.3394395,-99.1473547
"DISTRITO FEDERAL","BENITO JUAREZ","E06176",110296,"BENZINA, SA DE CV","BOULEVARD ADOLFO LOPEZ MATEOS NO. 315","San Pedro de Los Pinos","03800","52737604","lrobertola@hotmail.com; loma19@hotmail.com","12-Aug-02","S","S","N",20.6760854,-101.325145
"DISTRITO FEDERAL","BENITO JUAREZ","E07351",111471,"SERVIEJE, S.A. DE C.V.","AV. CUAUHTEMOC NO. 1037","Narvarte","03020","5555596408","es7351@gasfar.com;marcoschalla@gasfar.com","4-Dec-03","S","S","N",19.3856112,-99.1573261
"DISTRITO FEDERAL","BENITO JUAREZ","E07705",111825,"SERVICIO EJE SEIS, S.A. DE C.V.","AV. EJE SEIS SUR INDEPENDENCIA NO. 110","San Simon","03660","52509102","ejeseis@grupocyma.com.mx","1-Oct-04","S","S","S",19.4586606,-99.143107
"DISTRITO FEDERAL","BENITO JUAREZ","E09381",113501,"CONXO, S.A. DE C.V.","AV. PATRIOTISMO NUM. 263","San Pedro de Los Pinos","03800","55162839","patriotismo@grupocyma.com.mx","25-Jul-08","S","S","S",19.3914506,-99.1821109
"DISTRITO FEDERAL","BENITO JUAREZ","E10446",114566,"SERVICIO DANIELA, S.A. DE C.V.","CALZADA DE TLALPAN NO. 985","AMERICAS UNIDAS","03610","55-90-11-42","serviciodaniela@me.com","4-Oct-10","S","S","S",19.3672419,-99.1421905
"DISTRITO FEDERAL","BENITO JUAREZ","E11094",115214,"LENIGAS, S.A. C.V.","Av. Xola No. 732","Del Valle","03100","10859500","vilachacorp@yahoo.com","23-Mar-12","S","S","S",19.3977364,-99.1680184
"DISTRITO FEDERAL","COYOACAN","E00032",108045,"CORPORACION GASOLINERA MILLENIUM, S.A. DE C.V.","CENTENARIO NO. 13","DEL CARMEN ","04000","52623800","controlesvolumetricos@hidrosina.com.mx","22-Apr-99","S","S","N",19.349963,-99.164138
"DISTRITO FEDERAL","COYOACAN","E00041",107997,"SERVICIO CAMPANA, S.A. DE C.V.","AV. CANAL DE MIRAMONTES NO. 2727","JARDINES DE COYACAN","04890","56770769","scampana@prodigy.net.mx","20-Oct-97","S","S","N",19.3167223,-99.1269505
"DISTRITO FEDERAL","COYOACAN","E00081",108065,"SERVICIO RODASA, S.A. DE C.V.                 .","DIVISION DEL NORTE NO. 3101","EL ROSEDAL","04330","55 11 21 86","es0081@corpogas.com.mx, gerardo@corpogas.com.mx, f","14-Oct-93","S","S","S",19.3370915,-99.1474041
"DISTRITO FEDERAL","COYOACAN","E00110",108074,"SERVICIO CHURUBUSCO, S.A. DE C.V.","CALZADA DE TLALPAN No. 1857","San Mateo","04120","56890909 ó 55491644","schuru_0110@hotmail.com","10-Jun-94","S","S","S",19.350512,-99.1476701
"DISTRITO FEDERAL","COYOACAN","E00209",108080,"SERVICIO SANTA URSULA, S.A. DE C.V.","CALZADA DE TLALPAN NO. 3039","Santa Ursula Coapa","04650","56-18-22-69","r.bejar@ssu209.com","21-Nov-94","S","S","S",19.3057933,-99.1443372
"DISTRITO FEDERAL","COYOACAN","E00212",108052,"UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO","AV. UNIVERSIDAD NACIONAL  S/N","Copilco Universidad","04515","56226351 Y 59","moralesm@patronato.unam.mx","4-May-99","S","S","N",19.3663859,-99.1677953
"DISTRITO FEDERAL","COYOACAN","E02503",108005,"OPERADORA GASOIL, SA DE CV","AV. DIVISION DEL NORTE NO. 2570","San Diego Churubusco","04120","56041634","israel.contreras@opgasoil.com.mx","5-Nov-99","S","S","N",19.3553128,-99.1524384
"DISTRITO FEDERAL","COYOACAN","E02510",108049,"SUPER SERVICIO TAXQUE%A, S.A. DE C.V","EUIROPA NO. 23 ESQ. MIGUEL A. DE QUEVEDO","Atlantida","04370","43 23 03 24","servicio_taxquena@hotmail.com","13-Nov-96","S","S","N",19.3406913,-99.1463071
"DISTRITO FEDERAL","COYOACAN","E02728",108056,"SERVICIO COYOACAN, S.A. DE C.V.","AV. MIGUEL ANGEL DE QUEVEDO Y PSI NO. 5","Romero de Terreros","04310","55541695","coyoacan@meigascorp.com","5-Jan-93","S","S","N",19.341471,-99.1746778
"DISTRITO FEDERAL","COYOACAN","E02936",108048,"LUIS CABALLERO NAVARRO","RETORNO 816 NO. 8","CENTINELA","04450","","","14-Jan-93","S","S","N",19.3339405,-99.1397176
"DISTRITO FEDERAL","COYOACAN","E03476",108038,"SERVICIO EL HUESO, S.A. DE C.V.","CALZADA DEL HUESO NO. 966","El Mirador","04950","56711103","hector@lopri.mx","4-Nov-94","S","S","N",19.2997946,-99.1059901
"DISTRITO FEDERAL","COYOACAN","E03529",108073,"SERVICIOS CIUDAD JARDIN, S.A. DE C.V.","CALZADA DE TLALPAN NO. 2279","CUIDAD JARDIN","04370","56-89-64-17","evillanue@hotmail.com","28-Jun-96","S","S","S",19.3383385,-99.1428787
"DISTRITO FEDERAL","COYOACAN","E03994",107986,"SECRETARIA DE MARINA","CALZADA DE LA VIRGEN NO. 1800","Carmen Serdan","04840","56246500","","8-Dec-96","S","S","S",19.3186142,-99.1170467
"DISTRITO FEDERAL","COYOACAN","E04342",107999,"SERVICIO EJE "" 10 "", S.A. DE C.V.","AV. DE LAS TORRES S/N","PEDREGAL DE SAN FRANCISCO","04369","56172935","es4342@corpogas.com.mx, gerardo@corpogas.com.mx, f","2-Oct-95","S","S","N",19.2981064,-99.138595
